name,Ali Link,Orders,Rating,Estimated Ali Sales,categoryName,price,image,occasionName,typeName,originalPrice,stockQuantity,inStock,sku,weight,dimensions,featured,isNew,onSale,isActive
USB Milk Water Warmer Bottle Heater Travel Stroller Insulated Bag Baby Nursing Safe Kids Supplies for Outdoor Winter,https://www.aliexpress.com/item/1005006904478748.html?spm=a2g0o.productlist.main.1.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000038671027349%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.9,30K+,Baby Item,12966,https://picsum.photos/400/400,everyday use,Standard,75091,2499,TRUE,usb-milk-water-warmer-bottle-heater-travel-stroller-insulated-bag-baby-nursing-safe-kids-supplies-for-outdoor-winter-1513,,,FALSE,TRUE,FALSE,TRUE
1 PCS New Kids Backpack School Bag Cute Animal Print Backpack,https://www.aliexpress.com/item/1005007060447761.html?spm=a2g0o.productlist.main.5.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000043157582860%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.9,45K+,Baby Item,22413,https://picsum.photos/400/401,everyday use,Standard,82741,3698,TRUE,1-pcs-new-kids-backpack-school-bag-cute-animal-print-backpack-3870,,,FALSE,TRUE,FALSE,TRUE
"Cartoon Bento Bag 3D Three-dimensional Pattern Lunch Box Bag Large Capacity Lunch Bag with Lunch Foil Insulation",https://www.aliexpress.com/item/1005007344937558.html?spm=a2g0o.productlist.main.7.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000040353577975%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.9,25K,Baby Item,62501,https://picsum.photos/400/402,everyday use,Standard,61488,6075,TRUE,"cartoon-bento-bag-3d-three-dimensional-pattern-lunch-box-bag-large-capacity-lunch-bag-with-lunch-foil-insulation-7792",,,FALSE,TRUE,FALSE,TRUE
"Portable Lunch Bags Thermal Insulation Lunch Box Storage Bag Children's School Lunch Box Bag Picnic Storage Large Capacity Tote",https://www.aliexpress.com/item/1005006995362242.html?spm=a2g0o.productlist.main.9.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000038985537690%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.9,35K+,Baby Item,14075,https://picsum.photos/400/403,everyday use,Standard,41878,2234,TRUE,"portable-lunch-bags-thermal-insulation-lunch-box-storage-bag-children's-school-lunch-box-bag-picnic-storage-large-capacity-tote-4819",,,FALSE,TRUE,FALSE,TRUE
"Children Cute Cartoon Dinosaur School Bags Anti-lost Backpacks Toddler Rucksack Kindergarten Schoolbag",https://www.aliexpress.com/item/1005007170460701.html?spm=a2g0o.productlist.main.11.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000039689528496%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.5,30K+,Baby Item,59039,https://picsum.photos/400/404,everyday use,Standard,2031,9061,TRUE,"children-cute-cartoon-dinosaur-school-bags-anti-lost-backpacks-toddler-rucksack-kindergarten-schoolbag-7112",,,FALSE,TRUE,FALSE,TRUE
"Cute Printed Cartoon Lunch Bag for Kids with Insulation and Preservation Function Bag Organizer Tote Bag with Zipper",https://www.aliexpress.com/item/1005006905677493.html?spm=a2g0o.productlist.similar_items.1.48d213d3pi4DpS&utparam-url=scene%3Aimage_search%7Cquery_from%3Adetail_bigimg&pdp_npi=4%40dis%21PKR%211529.23%21734.16%21%21%2139.66%2119.04%21%40213ba0c117323600149615664e8d49%2112000038674449219%21sea%21PK%210%21ABX,3K+,4.5,12K+,Baby Item,82597,https://picsum.photos/400/405,everyday use,Standard,55986,7835,TRUE,"cute-printed-cartoon-lunch-bag-for-kids-with-insulation-and-preservation-function-bag-organizer-tote-bag-with-zipper-8727",,,FALSE,TRUE,FALSE,TRUE
Stitch Fully Printed Flap Pen Bag Stationery Box Pencil Case Primary and Secondary School Girls Anime Kawaii,https://www.aliexpress.com/item/1005006661951242.html?spm=a2g0o.productlist.main.15.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000039116156137%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,10K+,4.8,35K+,Baby Item,82236,https://picsum.photos/400/406,everyday use,Standard,36285,2369,TRUE,stitch-fully-printed-flap-pen-bag-stationery-box-pencil-case-primary-and-secondary-school-girls-anime-kawaii-7035,,,FALSE,TRUE,FALSE,TRUE
"Pu Frosted Clear Makeup Box Waterproof Travel Toiletry Bag Large Capacity Portable Bath Storage Bag Children's Lunch Bag
",https://www.aliexpress.com/item/1005006727697442.html?spm=a2g0o.productlist.main.19.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000038107891033%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,5K+,4.9,22K+,Baby Item,19406,https://picsum.photos/400/407,everyday use,Standard,41102,2507,TRUE,"pu-frosted-clear-makeup-box-waterproof-travel-toiletry-bag-large-capacity-portable-bath-storage-bag-children's-lunch-bag
-6644",,,FALSE,TRUE,FALSE,TRUE
"Printing Kuromi Double-layer Pencil Bag Primary and Secondary School Students Cartoon Pencil Bag Mochila Children's Gifts",https://www.aliexpress.com/item/1005006724882860.html?spm=a2g0o.productlist.main.25.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000039170787411%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,5K+,4.7,20K+,Baby Item,48473,https://picsum.photos/400/408,everyday use,Standard,30406,6867,TRUE,"printing-kuromi-double-layer-pencil-bag-primary-and-secondary-school-students-cartoon-pencil-bag-mochila-children's-gifts-2472",,,FALSE,TRUE,FALSE,TRUE
"Children's Lunch Bags Solid Color Thermal Insulation Large Capacity Outdoor Portable Picnic Food Storage Bag Kids Lunch Box Bag",https://www.aliexpress.com/item/1005006783039320.html?spm=a2g0o.productlist.main.29.261b44damRDSr2&pdp_ext_f=%7B%22sku_id%22%3A%2212000038281733878%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,4K+,4.9,12K+,Baby Item,36420,https://picsum.photos/400/409,everyday use,Standard,48736,1471,TRUE,"children's-lunch-bags-solid-color-thermal-insulation-large-capacity-outdoor-portable-picnic-food-storage-bag-kids-lunch-box-bag-9715",,,FALSE,TRUE,FALSE,TRUE
"1 Pc Girls Cute Cartoon Plush Unicorn Children'S Chest Bag Shoulder Crossbody Bag, Colorful Plush Storage Bag For Daily",https://www.aliexpress.com/item/1005006904684255.html?spm=a2g0o.productlist.main.35.62acM2XPM2XPy5&pdp_ext_f=%7B%22sku_id%22%3A%2212000043110562410%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,2K,4.9,10K+,Baby Item,64841,https://picsum.photos/400/410,everyday use,Standard,16658,2112,TRUE,"1-pc-girls-cute-cartoon-plush-unicorn-children's-chest-bag-shoulder-crossbody-bag,-colorful-plush-storage-bag-for-daily-3298",,,FALSE,TRUE,FALSE,TRUE
"Hello Kitty Plush Bag Anime Sanrio Cinnamoroll Cosmetic Storage Bags Cartoon Kawaii Pachacco Pencil Case Girl Birthday Gifts
",https://www.aliexpress.com/item/1005005701357512.html?spm=a2g0o.productlist.main.73.659d7010MT4OGU&algo_pvid=3b82f11d-98d5-4821-9394-5fecebbf5e0d&algo_exp_id=3b82f11d-98d5-4821-9394-5fecebbf5e0d-36&pdp_npi=4%40dis%21PKR%212392.93%21861.39%21%21%2162.06%2122.34%21%402141122217323658781493929e93a0%2112000034054554686%21sea%21PK%210%21ABX&curPageLogUid=tU6n9i9EPlGB&utparam-url=scene%3Asearch%7Cquery_from%3A,10K+,4.7,32K+,Baby Item,33753,https://picsum.photos/400/411,everyday use,Standard,73096,2288,TRUE,"hello-kitty-plush-bag-anime-sanrio-cinnamoroll-cosmetic-storage-bags-cartoon-kawaii-pachacco-pencil-case-girl-birthday-gifts
-3706",,,FALSE,TRUE,FALSE,TRUE
"3D three-dimensional cartoon spider schoolbag set of children's schoolbag cute boys cartoon shoulder bag
",https://www.aliexpress.com/item/1005006074223072.html?af=1010595&afref=https%3A%2F%2Fc2.account.push4extension.com%2F&cv=47843&dp=250f1181741cd0c27ccde409832974c3&mall_affr=pr3&utm_campaign=1010595&utm_content=47843&utm_medium=cpa&utm_source=admitad&aff_fcid=1ffb48f32a8546d19f71eb21492faa0e-1732366506176-06797-_ePNSNV&aff_fsk=_ePNSNV&aff_platform=portals-tool&sk=_ePNSNV&aff_trace_key=1ffb48f32a8546d19f71eb21492faa0e-1732366506176-06797-_ePNSNV&terminal_id=641fd9cc615a41f7ad1c6af3cacdc772&afSmartRedirect=y,1K+,4.7,5K+,Baby Item,9429,https://picsum.photos/400/412,everyday use,Standard,51896,1146,TRUE,"3d-three-dimensional-cartoon-spider-schoolbag-set-of-children's-schoolbag-cute-boys-cartoon-shoulder-bag
-7818",,,FALSE,TRUE,FALSE,TRUE
"Cartoon cute plush backpack animal backpack boy girl school backpack outing leisure bag",https://www.aliexpress.com/item/1005005633262584.html?spm=a2g0o.productlist.main.43.62acM2XPM2XPy5&pdp_ext_f=%7B%22sku_id%22%3A%2212000033843213621%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3Acategory_navigate,2K+,4.9,15K+,Baby Item,5235,https://picsum.photos/400/413,everyday use,Standard,9258,2648,TRUE,"cartoon-cute-plush-backpack-animal-backpack-boy-girl-school-backpack-outing-leisure-bag-2020",,,FALSE,TRUE,FALSE,TRUE
